mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
0.0198,0.0198,0.0381,0.53,0.27,0,0.06,0.1,2.2
0.0198,0.0198,0.0381,1.85,1.38,0.09,0.43,0.22,0.31
0.0198,0.0198,0.0381,0.53,1.54,0.01,0.34,1.64,0.21
0.0198,0.0198,0.0381,0.56,0.49,1.36,1.51,0.08,1.16
0.0198,0.0198,0.0381,0.27,0.6,1.86,1.5,0.3,0.47
0.0198,0.0198,0.0381,1.31,1.06,0.09,0.43,1.7,0.57
0.0198,0.0198,0.0381,0.04,0.49,0.49,1.72,1.49,0.35
0.0198,0.0198,0.0381,0.57,0.38,0.71,0.3,2.25,0.41
0.0198,0.0198,0.0381,0.28,1.19,0.31,0.04,0.14,1.93
0.0198,0.0198,0.0381,0.35,1.41,0.12,0.01,0.23,1.77
0.0198,0.0198,0.0381,0.06,0.17,0.21,2.25,0,0.49
0.0198,0.0198,0.0381,0.76,0.21,0.4,1.19,0.09,1.88
0.0198,0.0198,0.0381,0.16,0.17,1.15,1.88,0.76,0.4
0.0198,0.0198,0.0381,0.92,0.19,1.73,0.97,0.3,1.45
0.0198,0.0198,0.0381,0.7,0.45,0.63,0.32,2.21,0.62
0.0198,0.0198,0.0381,0.4,0.41,0.57,1.23,1.97,0.65
-47.4693,5.2567,147.2877,1.57,0.38,0.75,1.5,0.67,0.41
-91.5068,70.7179,134.3938,0.58,0.94,1.85,0.39,1.15,0.31
0.0198,0.0198,0.0381,0.27,0.85,0.54,0.28,2.14,0.5
-33.4249,43.2639,135.6909,0.82,0.34,0.22,1.98,0.83,0.18
-49.6513,48.6198,124.0177,0.27,0.17,0.18,0.57,2.26,0.31
-63.418,36.2814,124.9332,0.38,0.65,0.21,0.23,2.17,0.26
-85.7145,82.5803,161.6312,0.45,1.18,0.32,0.39,0.18,1.89
0.0198,0.0198,0.0381,1.54,1.62,0.09,0.58,0.14,0.79
0.0198,0.0198,0.0381,0.65,0.19,1.24,1.62,0.16,1.09
0.0198,0.0198,0.0381,0.56,0.7,0.67,0.4,0.26,2.03
0.0198,0.0198,0.0381,1.18,1.48,0.08,0.57,0.28,1.28
0.0198,0.0198,0.0381,0.06,0.91,1.13,0.32,2.02,0.48
0.0198,0.0198,0.0381,0.05,1.51,0.38,0.21,1.62,0.49
0.0198,0.0198,0.0381,0.53,0.26,0.09,1.88,1.23,0.4
0.0198,0.0198,0.0381,0.12,1.01,1.09,0.25,1.85,0.38
0.0198,0.0198,0.0381,2.04,0.26,0.3,0.84,0.43,0.17
0.0198,0.0198,0.0381,2.07,0.13,0.3,0.08,0.1,1.06
-26.7201,45.7633,148.5847,0.28,0.27,0.92,1.77,0.1,0.98
0.0198,0.0198,0.0381,1.11,0.35,0.12,1.84,0.17,0.82
-36.202,21.8402,137.1405,2.08,0.34,0.3,0.54,0.72,0.13
-64.4099,82.3423,155.6039,0.34,0.06,1.48,0.76,0.25,1.6
-53.4997,22.118,127.985,1.26,1,0.49,0.14,1.62,0.18
-46.7948,74.963,162.6993,0.27,0.18,0.76,1.77,0.45,1.09
0.0198,0.0198,0.0381,0.48,0.21,1.22,0.71,1.94,0.27
0.0198,0.0198,0.0381,1.11,1.49,0.53,0.3,1.09,0.3
-77.5021,58.8159,125.391,0.25,1.41,1.44,0.52,1.14,0.38
-41.5183,13.7072,154.612,2.21,0.19,0.67,0.27,0.53,0.09
0.0198,0.0198,0.0381,0.62,0.28,1.93,1.35,0.34,0.13
0.0198,0.0198,0.0381,0.34,0.6,0.91,2.11,0.6,0.12
0.0198,0.0198,0.0381,0.43,1.94,0.09,0.05,0.8,0.18
0.0198,0.0198,0.0381,0.17,0,0.13,1.18,0,1.59
0.0198,0.0198,0.0381,1.58,0.31,0,0,0,1.28
0.0198,0.0198,0.0381,0.1,1.7,0.01,0,1.1,0
0.0198,0.0198,0.0381,0,0.45,1.44,0,1.54,0
0.0198,0.0198,0.0381,1.92,0,0,0.88,0.01,0.16
0.0198,0.0198,0.0381,1.85,0.16,0,0.01,0,1.1
0.0198,0.0198,0.0381,1.46,0.31,0,0.04,0,1.48
0.0198,0.0198,0.0381,0.03,1.28,0.53,0,0,1.45
0.0198,0.0198,0.0381,0,0.14,1.93,0.14,1.16,0.01
0.0198,0.0198,0.0381,0.01,0,0.28,0.94,1.99,0
0.0198,0.0198,0.0381,1.09,0,0,1.67,0.71,0.04
0.0198,0.0198,0.0381,0.7,1.9,0.08,0,0.01,0.49
0.0198,0.0198,0.0381,0.03,1.6,0.62,0.03,0,1.13
0.0198,0.0198,0.0381,0.06,1,1.05,0.01,0,1.54
0.0198,0.0198,0.0381,0.03,0.04,1.38,1.24,0,0.98
0.0198,0.0198,0.0381,0.23,0,0.01,1.26,1.76,0.04
0.0198,0.0198,0.0381,0.45,0.26,0,0.05,2.16,0.03
0.0198,0.0198,0.0381,1.53,1.09,0.03,0,0.85,0.1
0.0198,0.0198,0.0381,0,1.76,0.52,0.04,0.03,0.98
0.0198,0.0198,0.0381,0.03,0.45,2.16,0.17,0.04,0.72
